partida_id,rodada,clube,atleta,minuto,tipo_de_gol
4612,1,Bahia,Anderson Talisca,80,Penalty
4615,1,Santos,Gabriel Barbosa,80,
4616,1,Palmeiras,Leandro,83,
4619,2,Botafogo-RJ,Pablo Zeballos,75,
4620,2,Athletico-PR,Mosquito,78,
4621,2,Corinthians,Carlos Gilberto do Nascimento Silva,80,
4622,2,Sao Paulo,Antônio Carlos dos Santos Aguiar,92,
4624,2,Atletico-MG,Luiz Fernando Pereira da Silva,84,
4625,2,Goias,Willian José de Souza,82,
4628,3,Cruzeiro,Elierce Barbosa de Souza,75,Penalty
4630,3,Fluminense,Wagner Ferreira dos Santos,88,
4632,3,Sport,Patric Cabral Lalau,78,
4635,3,Corinthians,Paolo Guerrero,78,
4639,4,Botafogo-RJ,Wallyson,81,
4640,4,Chapecoense,Tiago Luís Martins,92,
4641,4,Fluminense,Francisco Souza dos Santos,87,
4643,4,Sao Paulo,Luís Fabiano,81,
4645,4,Sport,Rithely,86,
4646,4,Bahia,Pará,91,
4651,5,Sao Paulo,Paulo Henrique Ganso,91,
4652,5,Chapecoense,Tiago Luís Martins,88,
4655,5,Atletico-MG,André Felipe Ribeiro de Souza,75,
4657,6,Coritiba,Alexsandro de Souza,75,Penalty
4658,6,Bahia,Anderson Talisca,92,
4659,6,Cruzeiro,Marcelo Moreno,77,
4661,6,Athletico-PR,Douglas Coutinho,85,
4662,6,Fluminense,Rafael Sóbis,76,
4663,6,Gremio,Maximiliano Rodríguez Maeso,81,
4666,6,Vitoria,Willie Hortêncio Barbosa,90,
4673,7,Cruzeiro,Marcelo Moreno,88,
4678,8,Botafogo-RJ,Pablo Zeballos,94,
4680,8,Internacional,Wellington Paulista,79,
4683,8,Athletico-PR,Cléverson Gabriel Córdova,90,
4686,8,Santos,Lucas Rafael Araújo Lima,89,
4688,9,Sao Paulo,Dorlan Pabón,90,
4691,9,Bahia,Demerson Bruno Costa,86,
4695,9,Athletico-PR,Douglas Coutinho,93,
4697,28,Botafogo-RJ,Edílson Mendes Guimarães,87,
4699,28,Palmeiras,João Pedro Maturano dos Santos,75,
4702,28,Internacional,Valdívia,87,
4704,28,Athletico-PR,Guilherme Augusto Dellatorre,91,
4710,10,Fluminense,Darío Conca,84,
4713,10,Internacional,Cláudio Winck,91,
4715,10,Cruzeiro,Éverton Ribeiro,76,
4716,10,Atletico-MG,Leonardo Silva,93,
4721,11,Internacional,Alex Raphael Meschini,78,
4727,12,Santos,Diego Cardoso,80,
4728,12,Cruzeiro,Dagoberto Pelentier,79,
4729,12,Vitoria,Ayrton Ganino,84,
4731,12,Sao Paulo,Kaká,76,
4733,12,Corinthians,Petros,91,
4734,12,Atletico-MG,Diego Tardelli,85,Penalty
4736,12,Coritiba,Alexsandro de Souza,94,
4738,13,Criciuma,Rodrigo Souza,80,
4739,13,Vitoria,Caio Canedo Corrêa,77,
4743,13,Figueirense,Clayton da Silveira da Silva,76,
4746,13,Atletico-MG,Léo Pereira,76,Gol Contra
4749,14,Coritiba,Germano Borovicz Cardoso Schweger,82,
4750,14,Flamengo,Eduardo da Silva,85,
4751,14,Corinthians,Carlos Gilberto do Nascimento Silva,84,
4752,14,Athletico-PR,Douglas Coutinho,93,
4753,14,Internacional,Cláudio Winck,85,
4754,14,Atletico-MG,Jesús Dátolo,87,
4755,14,Figueirense,Marcos Roberto da Silva Barbosa,87,
4757,15,Internacional,Pedro Henrique Pereira da Silva,77,Gol Contra
4760,15,Sao Paulo,Alan Kardec,89,
4762,15,Cruzeiro,Júlio Baptista,88,
4766,15,Figueirense,Clayton da Silveira da Silva,91,
4775,16,Corinthians,Luciano da Rocha Neves,78,
4776,16,Cruzeiro,Dagoberto Pelentier,86,
4777,17,Atletico-MG,Diego Tardelli,82,
4781,17,Flamengo,Eduardo da Silva,82,
4782,17,Figueirense,Everaldo Stum,75,
4783,17,Santos,Gabriel Barbosa,86,Penalty
4784,17,Fluminense,Fred,80,
4792,18,Sao Paulo,Rogério Ceni,76,Penalty
4795,18,Goias,Erik Nascimento de Lima,84,
4798,19,Gremio,Luan Guilherme de Jesus Vieira,91,
4803,19,Fluminense,Kenedy,88,
4806,19,Figueirense,Giovanni Augusto,76,
4807,20,Gremio,Hernán Barcos,92,
4808,20,Palmeiras,Jonatan Cristaldo,82,
4809,20,Fluminense,Cícero Santos,85,
4810,20,Sport,Patric Cabral Lalau,91,
4811,20,Coritiba,Joel Tagueu,76,
4813,20,Sao Paulo,Alexandre Pato,81,
4818,21,Chapecoense,Douglas Grolli,87,
4819,21,Coritiba,Luiz Eduardo Figueiredo,88,
4820,21,Bahia,Maxi Biancucchi,84,
4827,22,Vitoria,Vinícius Santos Silva,76,
4831,22,Bahia,Wellington Clayton Gonçalves dos Santos,90,
4833,22,Coritiba,Joel Tagueu,86,
4835,22,Goias,Jackson de Souza,93,
4837,23,Internacional,Rafael Moura,81,
4839,23,Atletico-MG,Carlos Júnior,91,
4841,23,Sport,Felipe Azevedo,75,
4844,23,Santos,Lucas Rafael Araújo Lima,89,
4845,23,Goias,Welinton Júnior,90,
4850,24,Chapecoense,Leandro,89,
4851,24,Flamengo,Alecsandro,87,
4852,24,Figueirense,Marcos Assis de Santana,84,
4856,24,Santos,Geuvânio,84,
4859,25,Fluminense,Darío Conca,90,
4862,25,Gremio,Hernán Barcos,77,
4863,25,Atletico-MG,Guilherme Milhomem Gusmão,93,
4864,25,Figueirense,Clayton da Silveira da Silva,76,
4867,26,Chapecoense,Leandro,92,
4869,26,Bahia,Marcos Aurélio de Oliveira Lima,83,
4873,26,Corinthians,Luciano da Rocha Neves,93,
4880,27,Goias,Bruno Mineiro,75,
4882,27,Gremio,Eduardo Pereira Rodrigues,76,
4883,27,Flamengo,Nixon Darlanio Reis Cardoso,93,
4886,27,Chapecoense,Diones,76,
4888,29,Sao Paulo,Paulo Henrique Ganso,79,
4889,29,Fluminense,Fred,85,Penalty
4892,29,Figueirense,Marcos Assis de Santana,90,
4894,29,Palmeiras,Henrique Dourado,89,
4895,29,Cruzeiro,Dedé,84,
4897,30,Bahia,Guilherme Oliveira Santos,85,
4898,30,Vitoria,Edno,84,
4899,30,Flamengo,Gabriel Santana,91,
4900,30,Athletico-PR,Cléverson Gabriel Córdova,78,
4901,30,Cruzeiro,Dagoberto Pelentier,93,
4903,30,Coritiba,Alexsandro de Souza,88,
4905,30,Fluminense,Edson Felipe da Cruz,91,
4906,30,Goias,Esquerdinha,90,
4907,31,Figueirense,Pablo Felipe Teixeira,92,
4908,31,Corinthians,Danilo Gabriel de Andrade,91,
4909,31,Athletico-PR,Cleberson Martins de Souza,91,
4910,31,Vitoria,Edno,86,Penalty
4911,31,Sport,Danilo Barcelos,79,
4912,31,Chapecoense,Leandro,91,
4913,31,Gremio,Cristian Riveros,85,
4915,31,Flamengo,Eduardo da Silva,75,
4917,32,Fluminense,Darío Conca,89,
4919,32,Corinthians,Bruno Henrique Corsini,95,
4920,32,Internacional,Charles Aránguiz,81,
4922,32,Botafogo-RJ,Leonardo Renan Simões de Lacerda,91,Gol Contra
4923,32,Sao Paulo,Alan Kardec,83,
4929,33,Athletico-PR,Cléverson Gabriel Córdova,94,
4930,33,Sao Paulo,Kaká,78,
4931,33,Gremio,Alan Ruiz,76,
4933,33,Sport,Danilo Barcelos,89,
4935,33,Cruzeiro,Willian Gomes de Siqueira,90,
4936,33,Goias,Thiago Henrique Mendes Ribeiro,76,
4944,35,Sport,Ananias Elói Castro Monteiro,78,
4945,35,Chapecoense,Bruno César Pereira da Silva,84,
4946,35,Cruzeiro,Éverton Ribeiro,76,
4949,34,Corinthians,Renato Augusto,84,
4951,34,Flamengo,Nixon Darlanio Reis Cardoso,81,
4953,34,Internacional,Paulo Marcos de Jesus Ribeiro,79,
4954,34,Vitoria,Telmário de Araújo Sacramento,81,
4955,34,Sao Paulo,Rafael Tolói,79,
4957,36,Internacional,Fabrício dos Santos Silva,94,
4961,36,Fluminense,Fred,92,
4964,36,Corinthians,Paolo Guerrero,83,
4968,37,Internacional,Valdívia,79,
4969,37,Flamengo,Nixon Darlanio Reis Cardoso,86,
4970,37,Figueirense,Marcelino Júnior Lopes Arruda,84,
4971,37,Santos,Leandro Damião,90,
4972,37,Corinthians,Danilo Gabriel de Andrade,84,
4974,37,Coritiba,Leandro Almeida,85,
4978,38,Internacional,Rafael Moura,87,
4979,38,Coritiba,Keirrison,95,
4980,38,Santos,Thiago Ribeiro,94,
4986,38,Goias,Erik Nascimento de Lima,91,
4988,1,Palmeiras,Rafael Marques Mariano,95,
4989,1,Fluminense,Vinícius,88,
4990,1,Ponte Preta,Diego Oliveira,94,
4992,1,Sao Paulo,Alexandre Pato,80,
4993,1,Corinthians,Ángel Romero,82,
4994,1,Sport,Régis,88,
4997,2,Goias,Bruno Henrique,81,
5001,2,Fluminense,Fred,89,Penalty
5002,2,Flamengo,Éverton Cardoso da Silva,96,
5007,3,Sao Paulo,Alexandre Pato,86,
5008,3,Vasco,Lucas Santos Siqueira,81,
5009,3,Gremio,Braian Rodríguez,78,
5010,3,Goias,Victor Ramos,76,Gol Contra
5015,3,Ponte Preta,Biro-Biro,85,
5017,4,Ponte Preta,Renato Cajá,93,
5018,4,Avai,Roberto César Zardin Rodrigues,79,
5020,4,Sport,Samuel Xavier,93,
5025,4,Flamengo,Eduardo da Silva,86,
5028,5,Ponte Preta,Borges,78,
5030,5,Sao Paulo,Rogério Ceni,85,Penalty
5031,5,Cruzeiro,Manoel Messias Silva Carvalho,78,
5032,5,Atletico-MG,Carlos Júnior,77,
5034,5,Fluminense,Marcos Júnior,88,
5035,5,Sport,Maikon Leite,93,
5036,5,Internacional,Rafael Moura,76,
5040,6,Athletico-PR,Ytalo José dos Santos,92,
5045,6,Avai,Rômulo,94,
5051,7,Joinville,Marcelinho Paraíba,79,
5052,7,Vasco,Rodrigo Baldasso da Costa,88,
5055,7,Palmeiras,Jonatan Cristaldo,91,
5058,8,Sport,Wendel Geraldo Maurício e Silva,81,
5064,8,Coritiba,Ruy Franco de Almeida Junior,77,
5065,8,Avai,André Lima,89,
5066,8,Fluminense,Vinícius,95,
5068,9,Chapecoense,Bruno Rangel,88,
5076,9,Internacional,Valdívia,77,
5084,10,Corinthians,Vágner Love,96,
5085,10,Figueirense,Paulo Roberto da Silva,80,
5086,10,Fluminense,Lucas Gomes,80,
5088,11,Chapecoense,Hélio Hermito Zampier Neto,75,
5090,11,Sport,André Felipe Ribeiro de Souza,93,Penalty
5093,11,Gremio,Yuri Mamute,81,
5095,11,Figueirense,Fabinho,93,
5096,11,Internacional,Lisandro López,86,
5097,12,Chapecoense,Bruno Rangel,77,
5098,12,Santos,Ricardo Oliveira,90,Penalty
5101,12,Palmeiras,Jonatan Cristaldo,89,
5103,12,Internacional,Ernando Rodrigues Lopes,93,
5104,12,Sao Paulo,Gabriel Boschilia,93,
5105,12,Corinthians,Jadson,77,
5108,13,Gremio,Pedro Rocha Neves,81,
5109,13,Atletico-MG,Giovanni Augusto,88,
5110,13,Sao Paulo,Alexandre Pato,91,
5113,13,Fluminense,Fred,93,
5115,13,Sport,André Felipe Ribeiro de Souza,90,
5117,14,Internacional,Eduardo Sasha,88,
5122,14,Sport,Wéverton Almeida Santos,93,
5125,14,Avai,André Lima,82,
5127,15,Avai,Rômulo,84,
5130,15,Chapecoense,Bruno Rangel,90,Penalty
5133,15,Coritiba,Evandro da Silva,92,
5137,16,Corinthians,Elias Mendes Trindade,77,
5139,16,Fluminense,Marcos Júnior,77,
5140,16,Coritiba,Evandro da Silva,90,
5141,16,Athletico-PR,Walter Henrique da Silva,77,
5144,16,Figueirense,Dudu,92,
5149,17,Athletico-PR,Christián Vilches,98,
5152,17,Cruzeiro,Giorgian De Arrascaeta,82,
5155,17,Gremio,Réver,84,Gol Contra
5156,17,Figueirense,Dudu,83,
5157,18,Coritiba,Henrique Almeida,82,
